"","address","availability","groups","languages","billing","zipcode"
"3134","Praxis Malaga GmbH Aavorstadt 39 5600 Lenzburg Switzerland","At least four weeks","Older adults Couples Families Adults Young adults Senior management Teams","German Swiss German English","Covered by basic insurance To be paid by yourself",5600
"3135","Centro Luvini Via G. Luvini 7 6900 Lugano Switzerland","Less than two weeks","Older adults Adults Young adults Groups Teenagers","German Swiss German French Italian English","Covered by basic insurance",6900
"3136","Centre Maurice Theytaz Route de la Morge 37 1964 Conthey Switzerland","No date currently available","Older adults Adults Young adults Teenagers Children","French English","Covered by basic insurance",1964
"3137","Cabinet de psychothérapie de la Palud Place de la Palud 7 1003 Lausanne Switzerland","Less than two weeks","Young adults Adults Couples Families","German Swiss German French","Partially covered by supplementary insurance Covered by basic insurance To be paid by yourself",1003
"3138","Cabinet Ma Psychothérapie Chemin de la Chapelle 2a 1071 Chexbres Switzerland","At least four weeks","Adults","French English","Covered by basic insurance",1071
"3139","Lavida - Espace Santé Rue du Maupas 19a 1004 Lausanne Switzerland","Two to four weeks","Older adults Adults Young adults","French Italian English Portuguese","Partially covered by supplementary insurance To be paid by yourself",1004
"3140","SUPEA - Consultation ambulatoire de psychiatrie de l'enfant et de l'adolescent Av. d'Echallens 9 1004 Lausanne Switzerland","At least four weeks","Teenagers Families Children Young adults","French","Covered by basic insurance",1004
"3141","Christine Leclerc Sherling Rue de la paix 11 2300 La Chaux de Fonds Switzerland","Less than two weeks","Teams Adults Groups Young adults Senior management","French English","Partially covered by supplementary insurance To be paid by yourself",2300
"3142","CP - Cabinet de psychothérapie de Camille Peter Avenue du Théâtre 7 1005 Lausanne Switzerland","Two to four weeks","Older adults Adults Young adults","French English","Partially covered by supplementary insurance Covered by basic insurance To be paid by yourself",1005
"3143","Praxis unter dem Dach Bahnhofstrasse 156 8620 Wetzikon Switzerland","No date currently available","Young adults Families Teenagers Children","German Swiss German English","Partially covered by supplementary insurance Covered by basic insurance To be paid by yourself",8620
"3144","Praxis Steinenring Steinenring 49 4051 Basel Switzerland","No date currently available","Teenagers Children Young adults","German English","Covered by basic insurance",4051
"3145","Les Psy Réunis Avenue de Champel 6 1206 Genève Switzerland","Two to four weeks","Older adults Adults Young adults Families","French","Covered by basic insurance",1206
"3146","Cabinet Toepffer Rue Rodolphe-Toepffer 11 1206 Genève Switzerland","Two to four weeks","Older adults Adults Young adults","German Swiss German French Spanish","Partially covered by supplementary insurance Covered by basic insurance",1206
"3147","Cabinet Inter'Act Route d'Yverdon 8A 1040 Echallens Switzerland","Less than two weeks","Adults Young adults Families Teenagers Children","French","Partially covered by supplementary insurance",1040
"3148","Av. du Plateau 2 1213 Petit-Lancy Switzerland","Two to four weeks","Older adults Adults Young adults","French","Partially covered by supplementary insurance To be paid by yourself",1213
"3149","La Cabane Thérapies Chemin des Tulipiers 16 1208 Genève Switzerland","At least four weeks","Teenagers Children Families","French English Portuguese","Covered by basic insurance",1208
"3150","Cabinet de Logopédie, Psychologie et Psychothérapie Av. de Beaumont 9 1012 Lausanne Switzerland","No date currently available","Adults Teenagers Young adults Children","French","Partially covered by supplementary insurance To be paid by yourself",1012
"3151","Clinica Psiche Via Balestra 33 6900 Lugano Switzerland Clinica Viarnetto Via Ceresio 34B 6963 Pregassona Switzerland","Less than two weeks","Adults Couples Families Teenagers Groups","French Italian English","Covered by basic insurance",6900
"3152","Studio di Psicoterapia Maierini Via Landriani 7 6900 Lugano Switzerland Studio di Psicoterapia Maierini Via Mulino Rosso 21 6517 Arbedo Switzerland","Two to four weeks","Adults Teenagers Young adults","French Italian English","Covered by basic insurance To be paid by yourself",6900
"3153","Zürich 8000 Zürich Switzerland","No date currently available","Adults Young adults Couples Older adults","German Swiss German English","Covered by basic insurance To be paid by yourself",8000
"3154","Praxis für Psychotherapie Mattenhofstrasse 5 3007 Bern Switzerland","No date currently available","Older adults Adults Young adults","German Swiss German","Covered by basic insurance To be paid by yourself",3007
"3155","Psychotherapie Ballestrin Hegarstrasse 22 8032 Zürich Switzerland Marktgasse 58 c/o WePractice 8400 Winterthur Switzerland","No date currently available","Older adults Adults Young adults","German Swiss German Spanish","Covered by basic insurance To be paid by yourself",8032
"3156","Praxisgemeinschaft Zürichhorn Dufourstr. 147 8008 Zürich Switzerland","At least four weeks","Young adults Families Teenagers Children","German Dutch English","Covered by basic insurance",8008
"3157","Step Talent Coaching Route de Lully 61 1470 Estavayer-le-Lac Switzerland Step Talent Coaching Chemin des Orlons 10 1860 Aigle Switzerland","Less than two weeks","Adults Teams Young adults Senior management Groups","French English","Partially covered by supplementary insurance",1470
"3158","Merkurstrasse 3 6210 Sursee Switzerland","No date currently available","Older adults Teenagers Adults Young adults","German Swiss German","Covered by basic insurance To be paid by yourself",6210
"3159","Praxis mit Weitsicht Sankt-Oswalds-Gasse 18 6300 Zug Switzerland","At least four weeks","Older adults Adults Young adults","German English","Covered by basic insurance",6300
"3160","Praxis der wilob AG Bachstrasse 23 5600 Lenzburg Switzerland Seetalpraxis Luzernerstrasse, 21a 6280 Hochdorf Switzerland","No date currently available","Teams Senior management",NA,"To be paid by yourself",5600
"3161","Martyna Syguda Weggisgasse 31 6004 Luzern Switzerland","Two to four weeks","Adults Young adults","German English Polish","Partially covered by supplementary insurance To be paid by yourself",6004
"3162","Zentrum ASS Turnerweg 16 5600 Lenzburg Switzerland Praxis Michalik Zollrain 2 5000 Aarau Switzerland","No date currently available","Adults Young adults Families Teenagers Children","German Swiss German English","Partially covered by supplementary insurance Covered by basic insurance To be paid by yourself",5600
"3163","Mens et Corpore 8 Via Mulino Rosso 21 6517 Arbedo Switzerland Studio di psicoterapia Via Landriani 7 6900 Lugano Switzerland","Less than two weeks","Older adults Couples Teenagers Adults Young adults","French Italian English","Covered by basic insurance To be paid by yourself",6517
"3164","Hallerstrasse 3012 Bern Switzerland","No date currently available","Older adults Adults Young adults Couples Families Teenagers",NA,"Covered by basic insurance",3012
"3165","Mühlemattstrasse 16 6004 Luzern Switzerland","No date currently available","Adults Young adults","German","Covered by basic insurance",6004
"3166","Psychotherapie Praxis Thun Bälliz 64 3600 Thun Switzerland","No date currently available","Adults Young adults","German English","Covered by basic insurance",3600
"3167","SIL - Servizi di Integrazione Lavorativa Via San Gottardo 18C 6532 Castione Switzerland SIL - Servizi di Integrazione Lavorativa Via San Gottardo 78 6828 Balerna Switzerland","Two to four weeks","Teenagers Adults Teams Young adults Senior management","French Italian","Partially covered by supplementary insurance",6532
"3168","Eric PECH Rue de la gare 50 2502 Bienne Switzerland","Less than two weeks","Adults Young adults Teenagers Children Senior management","French","Covered by basic insurance",2502
"3169","RESALIO Therapie Rue du Milieu 14C 2502 Bienne Switzerland","Two to four weeks","Teenagers Families Young adults Older adults Adults","German Swiss German French","To be paid by yourself",2502
"3170","Cabinet Ma Psychothérapie Chemin de la Chapelle 2A 1071 Chexbres Switzerland","At least four weeks","Adults","French","Covered by basic insurance",1071
"3171","Cabinet JK SNC Rue de Bourg 43 1003 Lausanne Switzerland","Two to four weeks","Teenagers Children Young adults Families","French","Partially covered by supplementary insurance Covered by basic insurance To be paid by yourself",1003
"3172","Cabinet Kin&Psy Croix-du-Péage 1 1029 Villars-Sainte-Croix Switzerland","Less than two weeks","Adults Young adults Couples Families Teenagers Children","French","Partially covered by supplementary insurance",1029
"3173","Schwarztorstrasse 20 3007 Bern Switzerland","No date currently available","Adults Young adults Senior management","German Swiss German English Spanish","Covered by basic insurance To be paid by yourself",3007
"3174","Psychotherapie Conversio GmbH Aavorstadt 39 5600 Lenzburg Switzerland","No date currently available","Couples Families Teenagers Adults Young adults Teams","German Swiss German English","Partially covered by supplementary insurance Covered by basic insurance To be paid by yourself",5600
"3175","Elena Oks Psychologist Albisriederstrasse 226 8047 Zurich Switzerland Elena Oks Psychologist Online meetings Binzallee 8055 Zurich Switzerland","Less than two weeks","Couples Adults Young adults Families","English Hebrew Russian","Partially covered by supplementary insurance To be paid by yourself",8047
"3176","Parc 67 2300 La Chaux-de-Fonds Switzerland","No date currently available","Families Teenagers Children",NA,"Partially covered by supplementary insurance Covered by basic insurance",2300
"3177","Cabinet Hi-Mind Avenue de Rumine 48 1005 Lausanne Switzerland","Two to four weeks","Teenagers Children Adults Young adults Families","French English","Partially covered by supplementary insurance",1005
"3178","Cabinet Rive Rue du Vieux-Collège 4 1204 Genève Switzerland","Less than two weeks","Teenagers Adults Young adults Senior management","French English Spanish","Partially covered by supplementary insurance",1204
"3179","Consultation Tissot Avenue Tissot 2B 1006 Lausanne Switzerland","Two to four weeks","Older adults Adults Young adults Teenagers","French English","Partially covered by supplementary insurance Covered by basic insurance To be paid by yourself",1006
"3180","Arzthaus, Zürich Löwenplatz Schweizergasse 14 8001 Zürich Switzerland Schweizergasse 14 8001 Zürich Switzerland","At least four weeks","Adults Young adults Older adults","German English","Covered by basic insurance",8001
"3181","Psychologie CH Zähringerstrasse 51 8001 Zürich Switzerland","Two to four weeks","Adults Young adults","German Swiss German","Covered by basic insurance",8001
